chi_over_kappa	current	noise	qfi_rate	noise_over_current_squared	inverse_qfi_rate
0.0001000199839967994	2.000799519807971e-08	4.001599439935827e-08	2.000799439744e-08	99960049.98401392	49980021.9920068
0.0002000399679935987	8.003199039999692e-08	1.600640448511969e-07	8.003197758976e-08	24990016.99600468	12495005.4980017
0.0003000599519903981	1.800720144287974e-07	3.60144353116992e-07	1.8007194957696e-07	11106677.55378217	5553335.776889645
0.0004000799359871974	3.201281153229292e-07	6.402572554664855e-07	3.2012791035904e-07	6247508.749005972	3123751.374500425
0.0005000999199839968	5.002003603363004e-07	1.000403222678608e-06	5.00199859936e-07	3998407.759368547	1999200.879680272
0.0006001199039807961	7.202888359383595e-07	1.44058286004277e-06	7.202877983078399e-07	2776673.888456347	1388333.944222411
0.0007001398879775955	9.803936478142002e-07	1.960796907360524e-06	9.803917254745601e-07	2040006.897648616	1020000.448816465
0.0008001598719743949	1.280514920864686e-06	2.561046238947593e-06	1.28051164143616e-06	1561881.687270701	780937.8436251063
0.0009001798559711943	1.620652799206605e-06	3.241331863636272e-06	1.62064754619264e-06	1234080.617112518	617037.3085432937
0.001000199839967994	2.000807446172835e-06	4.001654924778192e-06	2.000799439744e-06	999606.4398721491	499800.219920068
0.001100219823964793	2.420979044312548e-06	4.842016700247462e-06	2.42096732209024e-06	826122.0660223191	413058.0329917917
0.001200239807961592	2.881167795391423e-06	5.762418602444168e-06	2.88115119323136e-06	694172.9721573042	347083.4860556028
0.001300259791958392	3.381373920391894e-06	6.762862178298266e-06	3.38135105316736e-06	591485.5502553658	295739.7751006319
0.001400279775955191	3.921597659513409e-06	7.843349109273805e-06	3.92156690189824e-06	510006.224470978	255000.1122041163
0.00150029975995199	4.501839272172721e-06	9.003881211373553e-06	4.501798739424e-06	444272.8622232009	222133.4310755858
0.00160031974394879	5.122099037004203e-06	1.024446043514398e-05	5.12204656574464e-06	390474.9218945067	195234.4609062766
0.001700339727945589	5.782377251860179e-06	1.156508886568061e-05	5.78231038086016e-06	345888.5052275131	172941.2525674976
0.001800359711942389	6.482674233811279e-06	1.296576872263373e-05	6.482590184770561e-06	308524.6543753697	154259.3271358234
0.001900379695939188	7.222990319146823e-06	1.444650236021451e-05	7.22288597747584e-06	276903.6288801485	138448.8143822903
0.002000399679935987	8.003325863375228e-06	1.600729226720143e-05	8.003197758976e-06	249906.1100880871	124950.054980017
